:HRUs
 :Attributes      AREA ELEVATION  LATITUDE LONGITUDE  BASIN_ID      LAND_USE_CLASS           VEG_CLASS        SOIL_PROFILE AQUIFER_PROFILE  TERRAIN_CLASS     SLOPE    ASPECT
 :Units            km2         m       deg       deg      none                none                none                none            none           none       deg      degN
  174           5.9364     224.9   43.5563  -79.9040        25         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.699   262.595
  175           1.2060     224.9   43.5557  -79.9075        25               Swamp     MixedVegetation                 Low          [NONE]         [NONE]     2.085   256.740
  176           1.0692     244.1   43.5602  -79.9322        25              Forest           Deciduous                 Low          [NONE]         [NONE]     3.408   255.741
  177           1.4292     248.3   43.5570  -79.9412        25     ShortVegetation     MixedVegetation                 Low          [NONE]         [NONE]     2.889   270.982
  178           1.9440     217.4   43.5514  -79.8943        25     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.832   289.323
  179           2.3940     216.9   43.5515  -79.8892        25               Urban                Bare                 Low          [NONE]         [NONE]     1.878   306.674
  180           1.1808     328.7   43.5620  -79.9654        25              Forest           Deciduous             Unknown          [NONE]         [NONE]     3.851   272.377
  181           0.7380     207.3   43.4161  -79.8560        26     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     6.306   300.961
  182           1.6308     224.0   43.4153  -79.8570        26              Forest           Deciduous                 Low          [NONE]         [NONE]     5.942   302.954
  183           2.3364     195.6   43.4163  -79.8527        26         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     2.151   325.186
  184           0.2880     190.9   43.4170  -79.8534        26               Urban                Bare                 Low          [NONE]         [NONE]     3.692   314.288
  185           0.3780     104.3   43.4604  -79.6813        27              Barren                Bare             Unknown          [NONE]         [NONE]     1.606   229.489
  186           0.9576     100.8   43.4611  -79.6756        27     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.916   246.582
  187           1.4004     102.4   43.4608  -79.6790        27               Urban                Bare             Unknown          [NONE]         [NONE]     1.321   235.589
  188           2.9772      88.7   43.4568  -79.6626        27               Urban                Bare                High          [NONE]         [NONE]     1.290   243.912
  189           0.4032      89.0   43.4555  -79.6644        27              Barren                Bare                High          [NONE]         [NONE]     1.325   251.975
  190           4.5648     191.5   43.5498  -79.7827        28         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     0.531   196.446
