time_step (min),T201526 100,T201526 2,T201545 100,T201545 2,T201585 100,T201585 2,T204526 100,T204526 2,T204545 100,T204545 2,T204585 100,T204585 2,Tcurrent 100,Tcurrent 2
165.0,0.22429657696125105,0.14740585951329876,0.163424918980013,0.14557093180151526,0.24109928220399013,0.150464072366276,0.25008677570590976,0.14801750208388142,0.2563389450985625,0.15719214064281317,0.27040632623202043,0.16208528120756682,0.22937646459276095,0.1370079358131875
180.0,0.22960988880031152,0.150572454031483,0.16773752446695767,0.14869810813067375,0.2468106295989685,0.15369636386616747,0.2560110258400812,0.15119723599841706,0.2624113014860683,0.16056896550245625,0.27681192168958546,0.16556722123794287,0.2348101127626876,0.1399511605935757
195.0,0.23520846371249604,0.15389985214578417,0.17229825213311756,0.15198408635143323,0.25282860994877865,0.1570927951363572,0.26225333933098227,0.15453844074389167,0.2688096728142426,0.164117269715625,0.2835614231516246,0.16922597850054188,0.24053548466764596,0.1430438459778145
210.0,0.24111665751870248,0.15740120610186636,0.17712947673683743,0.15544185498856677,0.25917940363945036,0.16066679129070138,0.2688408724947209,0.15805432313963763,0.27556189430708855,0.1678510787061427,0.29068419338491935,0.1730760150082773,0.24657748774126276,0.14629821645983299
225.0,0.24736172249905053,0.16109117625234148,0.18225635907189996,0.15908589190065214,0.2658923044981236,0.16443331683848328,0.2758040111487787,0.16175960436957126,0.2826991114275046,0.17178602612801797,0.2982130870546058,0.1771334510658491,0.25296399147552506,0.14972789825943522
240.0,0.25397425487527414,0.16498615663763871,0.18770729386253038,0.16293238705294044,0.2730002007979806,0.16840910594547864,0.2831768695473471,0.16567074649920244,0.2902562912860418,0.17593959442272222,0.306184990198048,0.18141631331525332,0.2597262850379707,0.1533481289910057
255.0,0.26098872834026565,0.16910454268943909,0.193514446852447,0.16699950688832388,0.2805401487560033,0.17261293569129066,0.29099788525742554,0.16980622128981793,0.2982728323888608,0.18033140029538686,0.3146414634346115,0.18594482909835364,0.2668996228845657,0.1571760064831338
270.0,0.2684441336436123,0.17346705058987055,0.19971440248467331,0.17130770971115084,0.2885540600315579,0.17706595205438447,0.2993105322855598,0.17418683088276765,0.30679329559268353,0.1849835352763236,0.3236295130337652,0.19074177761957145,0.27452387883066365,0.16123078561049908
285.0,0.27638474975496763,0.1780971003815921,0.20634894963011163,0.17588012402828923,0.29708953065996013,0.181792060970416,0.30816418091146147,0.17883609249935972,0.3158682854342487,0.18992097426584564,0.3332025206105129,0.19583291120797242,0.2826443346797447,0.16553423437957093
300.0,0.284861079412039,0.18302127828913228,0.2134660408812863,0.18074300511540287,0.30620084668507275,0.18681840024534324,0.3176151408078596,0.18378070268037305,0.3255555193280486,0.19517206854899172,0.3434213709984988,0.201247463678925,0.29131263695970233,0.17011106363803918
315.0,0.29393099157309166,0.18826989817264206,0.22112097174263567,0.1859262894816922,0.3159502121961708,0.19217591265755374,0.3277279348550195,0.18905110106961587,0.3359211332264067,0.2007691445243438,0.35435582956199596,0.20701876770020533,0.30058796524984643,0.17498944892393808
330.0,0.30366112637173615,0.1938776880049886,0.22937784070252576,0.19146427280160339,0.326409259531971,0.19790004667729022,0.33857686564094536,0.19468215973945036,0.3470412872819679,0.20674923575636228,0.36608623597426515,0.213185009632042,0.3105384689550448,0.1802016685191603
345.0,0.31412863596231944,0.19988463533127288,0.2383113712421192,0.19739644484996433,0.33766092053789976,0.20403161946677528,0.350247956473666,0.20071403215837336,0.3590041553855201,0.21315498456488768,0.3787056029371456,0.21979015918169154,0.3212430475781787,0.18578488927055758
360.0,0.32542335911213627,0.2063370366931636,0.24800920462790543,0.20376852586295513,0.3498017640630593,0.21061788807682547,0.3628413760135345,0.2071932069698903,0.37191241041387,0.2200357611209256,0.3923222378146676,0.22688512333480304,0.3327935745624302,0.19178214198866073
